year,country_code,country,gold,silver,bronze,medals_total
2000,KAZ,KAZ,3,4,0,7
2000,KEN,KEN,2,3,2,7
2000,KGZ,KGZ,0,0,1,1
2000,KOR,KOR,12,26,35,73
2000,KSA,KSA,0,1,1,2
2000,KUW,KUW,0,0,1,1
2000,LAT,LAT,1,1,1,3
2000,LTU,LTU,2,0,15,17
2000,MAR,MAR,0,1,4,5
2000,MDA,MDA,0,1,1,2
2000,MEX,MEX,1,2,3,6
2000,MKD,MKD,0,0,1,1
2000,MOZ,MOZ,1,0,0,1
2000,NED,NED,27,29,23,79
2000,NGR,NGR,6,2,0,8
2000,NOR,NOR,20,4,19,43
2000,NZL,NZL,1,0,3,4
2000,POL,POL,7,10,7,24
2000,POR,POR,0,0,2,2
2000,PRK,PRK,0,1,3,4
2000,QAT,QAT,0,0,1,1
2000,ROU,ROU,27,6,13,46
2000,RSA,RSA,0,2,3,5
2000,RUS,RUS,66,67,54,187
2000,SCG,SCG,11,1,13,25
2000,SLO,SLO,3,0,0,3
2000,SRI,SRI,0,1,0,1
2000,SUI,Switzerland,1,11,2,14
2000,SVK,SVK,2,3,1,6
2000,SWE,SWE,4,20,8,32
2000,THA,THA,1,0,2,3
2000,TPE,TPE,0,1,4,5
2000,TTO,TTO,0,1,1,2
2000,TUR,TUR,3,0,2,5
2000,UKR,UKR,3,20,12,35
2000,URU,URU,0,1,0,1
2000,USA,United States,130,61,51,242
2000,UZB,UZB,1,1,2,4
2000,VIE,VIE,0,1,0,1
2004,ARG,ARG,28,0,21,49
2004,AUS,Australia,49,77,31,157
2004,AUT,Austria,3,4,1,8
2004,AZE,AZE,1,0,4,5
2004,BAH,BAH,1,0,1,2
2004,BEL,BEL,1,0,2,3
2004,BLR,BLR,2,5,8,15
2004,BRA,BRA,18,19,3,40
2004,BUL,BUL,2,1,14,17
2004,CAN,CAN,3,10,4,17
2004,CHI,CHI,3,0,1,4
2004,CHN,CHN,52,27,15,94
2004,CMR,CMR,1,0,0,1
2004,COL,COL,0,0,2,2
2004,CRO,CRO,15,3,3,21
2004,CUB,CUB,32,8,22,62
2004,CZE,CZE,1,6,6,13
2004,DEN,Denmark,19,1,9,29
2004,DOM,DOM,1,0,0,1
2004,EGY,EGY,1,1,3,5
2004,ERI,ERI,0,0,1,1
2004,ESP,ESP,4,17,9,30
2004,EST,EST,0,1,2,3
2004,ETH,ETH,2,3,2,7
2004,FIN,FIN,0,2,0,2
2004,FRA,France,21,10,22,53
2004,GBR,United Kingdom,17,25,15,57
2004,GEO,GEO,2,2,0,4
2004,GER,Germany,41,45,63,149
2004,GRE,Greece,8,18,5,31
2004,HKG,HKG,0,2,0,2
2004,HUN,Hungary,24,12,4,40
2004,INA,INA,1,1,3,5
2004,IND,IND,0,1,0,1
2004,IRI,IRI,2,2,2,6
2004,ISR,ISR,1,0,1,2
2004,ITA,ITA,24,41,39,104
2004,JAM,JAM,6,1,6,13
2004,JPN,JPN,21,20,52,93
2004,KAZ,KAZ,1,4,3,8
2004,KEN,KEN,1,4,2,7
2004,KOR,KOR,14,28,10,52
2004,LAT,LAT,0,4,0,4
2004,LTU,LTU,1,2,0,3
2004,MAR,MAR,2,1,0,3
2004,MEX,MEX,0,3,1,4
2004,MGL,MGL,0,0,1,1
2004,NED,NED,4,51,22,77
2004,NGR,NGR,0,0,8,8
2004,NOR,NOR,5,0,2,7
2004,NZL,NZL,4,2,0,6
2004,PAR,PAR,0,17,0,17
2004,POL,POL,4,2,6,12
2004,POR,POR,0,2,1,3
2004,PRK,PRK,0,4,1,5
2004,ROU,ROU,23,5,11,39
2004,RSA,RSA,4,3,3,10
2004,RUS,RUS,48,46,95,189
2004,SCG,SCG,0,13,0,13
2004,SLO,SLO,0,2,3,5
2004,SUI,Switzerland,1,2,4,7
2004,SVK,SVK,3,2,5,10
2004,SWE,SWE,5,5,2,12
2004,SYR,SYR,0,0,1,1
2004,THA,THA,3,1,4,8
2004,TPE,TPE,2,4,3,9
2004,TTO,TTO,0,0,1,1
2004,TUR,TUR,3,3,5,11
2004,UAE,UAE,1,0,0,1
2004,UKR,UKR,8,8,31,47
2004,USA,United States,117,75,71,263
2004,UZB,UZB,2,1,2,5
2004,VEN,VEN,0,0,2,2
2004,ZIM,ZIM,1,1,1,3
2008,AFG,AFG,0,0,1,1
2008,ALG,ALG,0,1,1,2
2008,ARG,ARG,20,0,31,51
2008,ARM,ARM,0,0,6,6
2008,AUS,Australia,31,42,76,149
2008,AUT,Austria,0,1,2,3
2008,AZE,AZE,1,2,4,7
2008,BAH,BAH,0,6,1,7
2008,BEL,BEL,1,4,0,5
2008,BLR,BLR,8,5,16,29
2008,BRA,BRA,14,34,30,78
2008,BUL,BUL,1,1,3,5
2008,CAN,CAN,11,13,11,35
2008,CHI,CHI,0,1,0,1
2008,CHN,CHN,74,53,57,184
2008,CMR,CMR,1,0,0,1
2008,COL,COL,0,1,1,2
2008,CRO,CRO,0,2,3,5
2008,CUB,CUB,2,34,11,47
2008,CZE,CZE,3,4,0,7
2008,DEN,Denmark,6,7,6,19
2008,DOM,DOM,1,1,0,2
2008,ECU,ECU,0,1,0,1
2008,EGY,EGY,0,0,1,1
2008,ESP,ESP,7,47,16,70
2008,EST,EST,1,2,0,3
2008,ETH,ETH,4,1,2,7
2008,FIN,FIN,1,2,2,5
2008,FRA,France,25,24,28,77
2008,GBR,United Kingdom,31,25,25,81
2008,GEO,GEO,3,0,3,6
2008,GER,Germany,42,16,41,99
2008,GRE,Greece,0,3,4,7
2008,HUN,Hungary,16,8,3,27
2008,INA,INA,2,2,3,7
2008,IND,IND,1,0,2,3
2008,IRI,IRI,1,0,1,2
2008,IRL,IRL,0,1,2,3
2008,ISL,ISL,0,14,0,14
2008,ISR,ISR,0,0,1,1
2008,ITA,ITA,8,14,20,42
2008,JAM,JAM,5,3,6,14
2008,JPN,JPN,23,15,13,51
2008,KAZ,KAZ,2,4,7,13
2008,KEN,KEN,6,4,5,15
2008,KGZ,KGZ,0,1,1,2
2008,KOR,KOR,41,11,26,78
2008,LAT,LAT,1,1,1,3
2008,LTU,LTU,0,2,3,5
2008,MAR,MAR,0,1,1,2
2008,MAS,MAS,0,1,0,1
2008,MDA,MDA,0,0,1,1
2008,MEX,MEX,2,0,2,4
2008,MGL,MGL,2,2,0,4
2008,MRI,MRI,0,0,1,1
2008,NED,NED,39,18,4,61
2008,NGR,NGR,0,16,7,23
2008,NOR,NOR,16,5,1,22
2008,NZL,NZL,4,2,9,15
2008,PAN,PAN,1,0,0,1
2008,POL,POL,6,13,1,20
2008,POR,POR,1,1,0,2
2008,PRK,PRK,2,1,3,6
2008,ROU,ROU,5,1,16,22
2008,RSA,RSA,0,1,0,1
2008,RUS,RUS,43,46,53,142
2008,SGP,SGP,0,3,0,3
2008,SLO,SLO,1,2,2,5
2008,SRB,SRB,0,1,14,15
2008,SUD,SUD,0,1,0,1
2008,SUI,Switzerland,3,1,7,11
2008,SVK,SVK,4,5,1,10
2008,SWE,SWE,0,5,2,7
2008,THA,THA,2,2,0,4
2008,TJK,TJK,0,1,1,2
2008,TOG,TOG,0,0,1,1
2008,TPE,TPE,0,0,4,4
2008,TTO,TTO,5,1,0,6
2008,TUN,TUN,1,0,0,1
2008,TUR,TUR,1,3,3,7
2008,UKR,UKR,10,5,16,31
2008,USA,United States,127,110,80,317
2008,UZB,UZB,1,2,3,6
2008,VEN,VEN,0,0,1,1
2008,VIE,VIE,0,1,0,1
2008,ZIM,ZIM,1,3,0,4
2012,AFG,AFG,0,0,1,1
2012,ALG,ALG,1,0,0,1
2012,ARG,ARG,1,15,3,19
2012,ARM,ARM,0,1,2,3
2012,AUS,Australia,18,37,59,114
2012,AZE,AZE,2,2,6,10
2012,BAH,BAH,4,0,0,4
2012,BEL,BEL,0,1,2,3
2012,BLR,BLR,3,12,8,23
2012,BOT,BOT,0,1,0,1
2012,BRA,BRA,14,34,11,59
2012,BRN,BRN,0,0,1,1
2012,BUL,BUL,0,1,1,2
2012,CAN,CAN,1,21,33,55
2012,CHN,CHN,56,40,29,125
2012,COL,COL,1,3,4,8
2012,CRO,CRO,15,4,16,35
2012,CUB,CUB,5,3,6,14
2012,CYP,CYP,0,1,0,1
2012,CZE,CZE,4,4,6,14
2012,DEN,Denmark,3,5,8,16
2012,DOM,DOM,1,1,0,2
2012,EGY,EGY,0,2,0,2
2012,ESP,ESP,5,33,25,63
2012,EST,EST,0,1,1,2
2012,ETH,ETH,3,1,3,7
2012,FIN,FIN,0,1,4,5
2012,FRA,France,30,30,22,82
2012,GAB,GAB,0,1,0,1
2012,GBR,United Kingdom,48,30,48,126
2012,GEO,GEO,1,3,3,7
2012,GER,Germany,45,27,22,94
2012,GRE,Greece,0,0,3,3
2012,GRN,GRN,1,0,0,1
2012,GUA,GUA,0,1,0,1
2012,HKG,HKG,0,0,1,1
2012,HUN,Hungary,12,8,6,26
2012,INA,INA,0,1,1,2
2012,IND,IND,0,2,4,6
2012,IRI,IRI,4,5,3,12
2012,IRL,IRL,1,1,3,5
2012,ITA,ITA,16,22,30,68
2012,JAM,JAM,8,9,8,25
2012,JPN,JPN,7,44,33,84
2012,KAZ,KAZ,7,1,5,13
2012,KEN,KEN,2,4,5,11
2012,KOR,KOR,18,13,30,61
2012,KSA,KSA,0,0,4,4
2012,KUW,KUW,0,0,1,1
2012,LAT,LAT,1,0,2,3
2012,LTU,LTU,2,1,2,5
2012,MAR,MAR,0,0,1,1
2012,MAS,MAS,0,1,1,2
2012,MDA,MDA,0,0,2,2
2012,MEX,MEX,16,5,3,24
2012,MGL,MGL,0,2,3,5
2012,MNE,MNE,0,14,0,14
2012,NED,NED,21,29,19,69
2012,NOR,NOR,15,1,1,17
2012,NZL,NZL,9,3,15,27
2012,POL,POL,2,2,8,12
2012,POR,POR,0,2,0,2
2012,PRK,PRK,4,0,2,6
2012,PUR,PUR,0,1,1,2
2012,QAT,QAT,0,0,2,2
2012,ROU,ROU,2,8,6,16
2012,RSA,RSA,6,2,1,9
2012,RUS,RUS,50,39,51,140
2012,SGP,SGP,0,0,4,4
2012,SLO,SLO,1,1,3,5
2012,SRB,SRB,1,1,14,16
2012,SUI,Switzerland,2,2,0,4
2012,SVK,SVK,0,1,4,5
2012,SWE,SWE,2,17,3,22
2012,THA,THA,0,2,1,3
2012,TJK,TJK,0,0,1,1
2012,TPE,TPE,0,1,1,2
2012,TTO,TTO,1,4,5,10
2012,TUN,TUN,1,1,1,3
2012,TUR,TUR,2,2,1,5
2012,UGA,UGA,1,0,0,1
2012,UKR,UKR,9,5,12,26
2012,USA,United States,145,57,46,248
2012,UZB,UZB,1,0,2,3
2012,VEN,VEN,1,0,0,1
2016,ALG,ALG,0,2,0,2
2016,ARG,ARG,21,1,0,22
2016,ARM,ARM,1,3,0,4
2016,AUS,Australia,23,34,25,82
2016,AUT,Austria,0,0,2,2
2016,AZE,AZE,1,7,10,18
2016,BAH,BAH,1,0,5,6
2016,BDI,BDI,0,1,0,1
2016,BEL,BEL,2,17,2,21
2016,BLR,BLR,1,4,7,12
2016,BRA,BRA,36,8,6,50
2016,BRN,BRN,1,1,0,2
2016,BUL,BUL,0,1,6,7
2016,CAN,CAN,4,4,61,69
2016,CHN,CHN,46,30,37,113
2016,CIV,CIV,1,0,1,2
2016,COL,COL,3,2,3,8
2016,CRO,CRO,7,15,2,24
2016,CUB,CUB,5,2,4,11
2016,CZE,CZE,1,2,12,15
2016,DEN,Denmark,15,10,16,41
2016,DOM,DOM,0,0,1,1
2016,EGY,EGY,0,0,3,3
2016,ESP,ESP,9,19,17,45
2016,EST,EST,0,0,4,4
2016,ETH,ETH,1,2,5,8
2016,FIJ,FIJ,13,0,0,13
2016,FIN,FIN,0,0,1,1
2016,FRA,France,20,55,21,96
2016,GBR,United Kingdom,64,55,26,145
2016,GEO,GEO,2,1,4,7
2016,GER,Germany,49,43,67,159
2016,GRE,Greece,3,1,3,7
2016,GRN,GRN,0,1,0,1
2016,HUN,Hungary,12,3,7,22
2016,INA,INA,2,2,0,4
2016,IND,IND,0,1,1,2
2016,IOA,IOA,1,0,1,2
2016,IRI,IRI,3,1,4,8
2016,IRL,IRL,0,3,0,3
2016,ISR,ISR,0,0,2,2
2016,ITA,ITA,8,40,24,72
2016,JAM,JAM,11,17,2,30
2016,JOR,JOR,1,0,0,1
2016,JPN,JPN,17,13,34,64
2016,KAZ,KAZ,3,5,10,18
2016,KEN,KEN,6,6,1,13
2016,KOR,KOR,13,3,10,26
2016,KOS,KOS,1,0,0,1
2016,LTU,LTU,0,2,5,7
2016,MAR,MAR,0,0,1,1
2016,MAS,MAS,0,7,1,8
2016,MEX,MEX,0,3,2,5
2016,MGL,MGL,0,1,1,2
2016,NED,NED,9,25,13,47
2016,NGR,NGR,0,0,18,18
2016,NIG,NIG,0,1,0,1
2016,NOR,NOR,0,0,19,19
2016,NZL,NZL,6,25,5,36
2016,PHI,PHI,0,1,0,1
2016,POL,POL,3,3,10,16
2016,POR,POR,0,0,1,1
2016,PRK,PRK,2,3,2,7
2016,PUR,PUR,1,0,0,1
2016,QAT,QAT,0,1,0,1
2016,ROU,ROU,4,2,10,16
2016,RSA,RSA,2,7,14,23
2016,RUS,RUS,52,28,35,115
2016,SGP,SGP,1,0,0,1
2016,SLO,SLO,1,2,1,4
2016,SRB,SRB,14,27,13,54
2016,SUI,Switzerland,6,3,2,11
2016,SVK,SVK,3,5,0,8
2016,SWE,SWE,2,23,3,28
2016,THA,THA,2,2,2,6
2016,TJK,TJK,1,0,0,1
2016,TPE,TPE,1,0,4,5
2016,TTO,TTO,0,0,1,1
2016,TUN,TUN,0,0,3,3
2016,TUR,TUR,1,3,4,8
2016,UAE,UAE,0,0,1,1
2016,UKR,UKR,2,8,5,15
2016,USA,United States,139,54,71,264
2016,UZB,UZB,4,2,7,13
2016,VEN,VEN,0,1,2,3
2016,VIE,VIE,1,1,0,2
2020,ARG,ARG,0,18,25,43
2020,ARM,ARM,0,2,2,4
2020,AUS,Australia,36,28,67,131
2020,AUT,Austria,1,1,5,7
2020,AZE,AZE,0,3,4,7
2020,BAH,BAH,2,0,0,2
2020,BEL,BEL,20,1,6,27
2020,BER,BER,1,0,0,1
2020,BLR,BLR,1,6,3,10
2020,BOT,BOT,0,0,6,6
2020,BRA,BRA,29,17,9,55
2020,BRN,BRN,0,1,0,1
2020,BUL,BUL,7,1,2,10
2020,BUR,BUR,0,0,1,1
2020,CAN,CAN,36,11,38,85
2020,CHN,CHN,59,49,33,141
2020,CIV,CIV,0,0,1,1
2020,COL,COL,0,4,1,5
2020,CRO,CRO,5,4,2,11
2020,CUB,CUB,8,3,5,16
2020,CZE,CZE,5,4,4,13
2020,DEN,Denmark,4,24,5,33
2020,DOM,DOM,0,7,25,32
2020,ECU,ECU,2,1,0,3
2020,EGY,EGY,1,1,4,6
2020,ESP,ESP,4,44,22,70
2020,EST,EST,4,0,1,5
2020,ETH,ETH,1,1,2,4
2020,FIJ,FIJ,13,0,13,26
2020,FIN,FIN,0,0,2,2
2020,FRA,France,65,42,34,141
2020,GBR,United Kingdom,41,43,57,141
2020,GEO,GEO,2,5,1,8
2020,GER,Germany,21,26,34,81
2020,GHA,GHA,0,0,1,1
2020,GRE,Greece,2,13,1,16
2020,GRN,GRN,0,0,1,1
2020,HKG,HKG,1,2,5,8
2020,HUN,Hungary,9,7,35,51
2020,INA,INA,2,1,3,6
2020,IND,IND,1,2,21,24
2020,IRI,IRI,3,2,2,7
2020,IRL,IRL,3,0,5,8
2020,ISR,ISR,2,0,12,14
2020,ITA,ITA,22,17,37,76
2020,JAM,JAM,9,1,11,21
2020,JOR,JOR,0,1,1,2
2020,JPN,JPN,68,41,22,131
2020,KAZ,KAZ,0,0,8,8
2020,KEN,KEN,4,4,2,10
2020,KGZ,KGZ,0,2,1,3
2020,KOR,KOR,14,7,17,38
2020,KOS,KOS,2,0,0,2
2020,KSA,KSA,0,1,0,1
2020,KUW,KUW,0,0,1,1
2020,LAT,LAT,4,0,1,5
2020,LTU,LTU,0,1,0,1
2020,MAR,MAR,1,0,0,1
2020,MAS,MAS,0,1,2,3
2020,MDA,MDA,0,0,1,1
2020,MEX,MEX,0,0,27,27
2020,MGL,MGL,0,1,3,4
2020,MKD,MKD,0,1,0,1
2020,NAM,NAM,0,1,0,1
2020,NED,NED,33,22,17,72
2020,NGR,NGR,0,1,1,2
2020,NOR,NOR,5,2,16,23
2020,NZL,NZL,29,28,8,65
2020,PHI,PHI,1,2,1,4
2020,POL,POL,14,14,8,36
2020,POR,POR,1,1,2,4
2020,PUR,PUR,1,0,0,1
2020,QAT,QAT,2,0,2,4
2020,ROC,ROC,41,80,28,149
2020,ROU,ROU,2,7,0,9
2020,RSA,RSA,1,2,0,3
2020,SLO,SLO,3,1,1,5
2020,SMR,SMR,0,2,2,4
2020,SRB,SRB,15,1,19,35
2020,SUI,Switzerland,3,5,7,15
2020,SVK,SVK,1,2,4,7
2020,SWE,SWE,6,28,0,34
2020,SYR,SYR,0,0,1,1
2020,THA,THA,1,0,1,2
2020,TKM,TKM,0,1,0,1
2020,TPE,TPE,3,6,7,16
2020,TUN,TUN,1,1,0,2
2020,TUR,TUR,2,2,9,13
2020,UGA,UGA,2,1,1,4
2020,UKR,UKR,1,7,21,29
2020,USA,United States,113,110,75,298
2020,UZB,UZB,3,0,2,5
2020,VEN,VEN,1,3,0,4
2024,AIN,AIN,1,4,1,6
2024,ALB,ALB,0,0,2,2
2024,ALG,ALG,2,0,1,3
2024,ARG,ARG,1,2,16,19
2024,ARM,ARM,0,3,1,4
2024,AUS,Australia,33,44,44,121
2024,AUT,Austria,3,0,3,6
2024,AZE,AZE,2,2,3,7
2024,BEL,BEL,3,1,5,9
2024,BOT,BOT,1,6,0,7
2024,BRA,BRA,4,28,35,67
2024,BRN,BRN,2,1,1,4
2024,BUL,BUL,3,1,3,7
2024,CAN,CAN,14,29,14,57
2024,CHI,CHI,1,1,0,2
2024,CHN,CHN,71,57,40,168
2024,CIV,CIV,0,0,1,1
2024,COL,COL,0,3,1,4
2024,CPV,CPV,0,0,1,1
2024,CRO,CRO,3,14,3,20
2024,CUB,CUB,2,1,6,9
2024,CYP,CYP,0,1,0,1
2024,CZE,CZE,4,0,5,9
2024,DEN,Denmark,17,5,19,41
2024,DMA,DMA,1,0,0,1
2024,DOM,DOM,1,0,2,3
2024,ECU,ECU,1,3,2,6
2024,EGY,EGY,1,1,1,3
2024,EOR,EOR,0,0,1,1
2024,ESP,ESP,40,7,36,83
2024,ETH,ETH,1,3,0,4
2024,FIJ,FIJ,0,14,0,14
2024,FRA,France,53,95,39,187
2024,GBR,United Kingdom,39,41,76,156
2024,GEO,GEO,3,3,1,7
2024,GER,Germany,21,49,38,108
2024,GRE,Greece,1,1,8,10
2024,GRN,GRN,0,0,2,2
2024,GUA,GUA,1,0,1,2
2024,HKG,HKG,2,0,2,4
2024,HUN,Hungary,9,12,9,30
2024,INA,INA,2,0,1,3
2024,IND,IND,0,1,21,22
2024,IRI,IRI,3,6,3,12
2024,IRL,IRL,4,0,3,7
2024,ISR,ISR,1,9,1,11
2024,ITA,ITA,31,26,25,82
2024,JAM,JAM,1,3,2,6
2024,JOR,JOR,0,1,0,1
2024,JPN,JPN,27,31,24,82
2024,KAZ,KAZ,1,3,4,8
2024,KEN,KEN,4,2,5,11
2024,KGZ,KGZ,0,2,4,6
2024,KOR,KOR,21,14,23,58
2024,KOS,KOS,0,1,1,2
2024,LCA,LCA,1,1,0,2
2024,LTU,LTU,0,2,5,7
2024,MAR,MAR,1,0,19,20
2024,MAS,MAS,0,0,3,3
2024,MDA,MDA,0,1,3,4
2024,MEX,MEX,0,4,4,8
2024,MGL,MGL,0,1,0,1
2024,NED,NED,67,25,26,118
2024,NOR,NOR,18,1,4,23
2024,NZL,NZL,26,18,7,51
2024,PAK,PAK,1,0,0,1
2024,PAN,PAN,0,1,0,1
2024,PER,PER,0,0,1,1
2024,PHI,PHI,2,0,2,4
2024,POL,POL,1,16,11,28
2024,POR,POR,2,2,1,5
2024,PRK,PRK,0,4,4,8
2024,PUR,PUR,0,0,2,2
2024,QAT,QAT,0,0,1,1
2024,ROU,ROU,12,7,2,21
2024,RSA,RSA,1,6,14,21
2024,SGP,SGP,0,0,1,1
2024,SLO,SLO,2,1,0,3
2024,SRB,SRB,16,1,12,29
2024,SUI,Switzerland,1,2,7,10
2024,SVK,SVK,0,0,1,1
2024,SWE,SWE,5,7,4,16
2024,THA,THA,1,3,2,6
2024,TJK,TJK,0,0,3,3
2024,TPE,TPE,3,0,5,8
2024,TUN,TUN,1,1,1,3
2024,TUR,TUR,0,4,7,11
2024,UGA,UGA,1,1,0,2
2024,UKR,UKR,6,6,4,16
2024,USA,United States,131,96,94,321
2024,UZB,UZB,8,2,3,13
2024,ZAM,ZAM,0,0,1,1
